,SMILES,BDE
48-4-agi-cf3.log,COC1=c2ccc3c4c2N(C=C1)[Ag@SP2](C(F)(F)F)N4C=CC=3OC,79.7
59-5-agi-cf3.log,FC(F)(F)[Ag][C]1N(CCN2[C]N(Cc3ccccc3)C=C2)C=CN1Cc1ccccc1,77.6
46-4-agi-cf3.log,COC1=CC2=C3C=C(OC)C=CN3[Ag@SP3](C(F)(F)F)N2C=C1,77.3
59-3-agi-cf3.log,CC(C)(C)N1[C]N(CCN2C=CN(C(C)(C)C)[C]2[Ag]C(F)(F)F)C=C1,76.5
56-5-agi-cf3.log,FC(F)(F)[Ag@SP2]1[C]2N(Cc3ccccc3)C=CN2CN2C=CN(Cc3ccccc3)[C]21,76.2
48-1-agi-cf3.log,CC1=c2ccc3c4c2N(C=C1)[Ag@SP2](C(F)(F)F)N4C=CC=3C,75.1
61-2-agi-cf3.log,CCN1C=CN2Cc3ccccc3CN3C=CN(CC)[C]3[Ag](C(F)(F)F)[C]12,74.9
60-2-agi-cf3.log,CCN1C=CN2[C]1[Ag](C(F)(F)F)=C1N(CC)C=CN1c1ccccc12,74.6
64-5-agi-cf3.log,FC(F)(F)[Ag][C]1N(Cc2ccccc2)CCN1Cc1ccccc1,74.6
60-1-agi-cf3.log,CN1C=CN2[C]1[Ag](C(F)(F)F)=C1N(C)C=CN1c1ccccc12,74.3
45-4-agi-cf3.log,FC(F)(F)[Ag][P](O[C@@H]1CCc2ccc(-c3ccccc3)nc21)(C1CCCCC1)C1CCCCC1,74.2
64-2-agi-cf3.log,CCN1CCN(CC)[C]1[Ag]C(F)(F)F,74.1
60-5-agi-cf3.log,FC(F)(F)[Ag]1=C2N(Cc3ccccc3)C=CN2c2ccccc2N2C=CN(Cc3ccccc3)[C]21,74
59-2-agi-cf3.log,CCN1C=CN2CCN3C=CN(CC)C3=[Ag](C(F)(F)F)[C]12,73.9
61-5-agi-cf3.log,FC(F)(F)[Ag]1[C]2N(Cc3ccccc3)C=CN2Cc2ccccc2CN2C=CN(Cc3ccccc3)[C]21,73.9
65-2-agi-cf3.log,CCN1CCCN(CC)[C]1[Ag]C(F)(F)F,73.8
61-1-agi-cf3.log,CN1C=CN2Cc3ccccc3CN3C=CN(C)[C]3[Ag](C(F)(F)F)[C]12,73.7
65-5-agi-cf3.log,FC(F)(F)[Ag][C]1N(Cc2ccccc2)CCCN1Cc1ccccc1,73.6
65-1-agi-cf3.log,CN1CCCN(C)[C]1[Ag]C(F)(F)F,73.5
64-1-agi-cf3.log,CN1CCN(C)[C]1[Ag]C(F)(F)F,73.4
56-2-agi-cf3.log,CCN1[C]N(CN2C=CN(CC)[C]2[Ag]C(F)(F)F)C=C1,73.1
61-3-agi-cf3.log,CC(C)(C)N1C=CN2Cc3ccccc3CN3C=CN(C(C)(C)C)[C]3[Ag](C(F)(F)F)[C]21,73
32-4-agi-cf3.log,FC(F)(F)[Ag]1[P](C2CCCCC2)(C2CCCCC2)O[C@@H]2CCCC23CCC[C@H]3O[P]1(C1CCCCC1)C1CCCCC1,72.7
59-1-agi-cf3.log,CN1C=CN2CCN3C=CN(C)C3=[Ag](C(F)(F)F)[C]12,72.7
31-4-agi-cf3.log,FC(F)(F)[Ag@SP1]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2CCCC23CCC[C@H]3[P]1(C1CCCCC1)C1CCCCC1,72.3
18-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@@H]2CCC[C@@H](C2)[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,72.2
19-4-agi-cf3.log,FC(F)(F)[Ag][P](C[C@H]1CCCC[C@@H]1CP(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1,72.2
31-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@@H]2CCCC23CCC[C@H]3[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,72.1
7-4-agi-cf3.log,CN1CC(C)(C)O[P](C2CCCCC2)(C2CCCCC2)[Ag@SP3](C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,72.1
42-3-agi-cf3.log,CC(C)(C)[P](Cc1cccc2c1[C@@]1(CCc3cccc(N)c31)CC2)([Ag]C(F)(F)F)C(C)(C)C,71.9
27-4-agi-cf3.log,FC(F)(F)[Ag@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P]1(C1CCCCC1)C1CCCCC1)OCCO3,71.8
39-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cc3ccc2CCc2ccc(c(c2)[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F)CC3,71.8
18-4-agi-cf3.log,FC(F)(F)[Ag@SP2]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2CCC[C@@H](C2)[P]1(C1CCCCC1)C1CCCCC1,71.7
19-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C[C@H]2CCCC[C@@H]2C[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,71.7
20-4-agi-cf3.log,FC(F)(F)[Ag][P](C1CCCCC1)(C1CCCCC1)[C@@H]1COCC[C@@H]1P(C1CCCCC1)C1CCCCC1,71.7
4-4-agi-cf3.log,C[C@H]1[C@H](C)[P](C2CCCCC2)(C2CCCCC2)[Ag@SP2](C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,71.7
60-4-agi-cf3.log,FC(F)(F)[Ag][C]1N(c2ccccc2)C=CN1c1ccccc1N1[C]N(c2ccccc2)C=C1,71.7
56-3-agi-cf3.log,CC(C)(C)N1[C]N(CN2C=CN(C(C)(C)C)[C]2[Ag]C(F)(F)F)C=C1,71.6
60-3-agi-cf3.log,CC(C)(C)N1C=CN2[C]1[Ag](C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1ccccc12,71.6
64-3-agi-cf3.log,CC(C)(C)N1CCN(C(C)(C)C)[C]1[Ag]C(F)(F)F,71.6
10-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2c[nH]cc2[P](C(C)(C)C)(C(C)(C)C)[Ag@SP3]1C(F)(F)F,71.5
57-5-agi-cf3.log,FC(F)(F)[Ag@SP1]1[C]2N(C=NN2Cc2ccccc2)CN2C=NN(Cc3ccccc3)[C]21,71.5
13-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@H]2CNC[C@@H]2[P](C(C)(C)C)(C(C)(C)C)[Ag@SP3]1C(F)(F)F,71.4
16-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cccnc2[P](C(C)(C)C)(C(C)(C)C)[Ag@SP1]1C(F)(F)F,71.4
20-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@@H]2COCC[C@@H]2[P](C(C)(C)C)(C(C)(C)C)[Ag@SP1]1C(F)(F)F,71.4
4-3-agi-cf3.log,C[C@H]1[C@H](C)[P](C(C)(C)C)(C(C)(C)C)[Ag](C(F)(F)F)[P]1(C(C)(C)C)C(C)(C)C,71.4
45-1-agi-cf3.log,FC(F)(F)[Ag][P](O[C@@H]1CCc2ccc(-c3ccccc3)nc21)(c1ccccc1)c1ccccc1,71.4
9-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cscc2[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,71.4
5-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)CCC[P](C(C)(C)C)(C(C)(C)C)[Ag@SP3]1C(F)(F)F,71.3
57-2-agi-cf3.log,CCN1[C]N(CN2C=NN(CC)[C]2[Ag]C(F)(F)F)C=N1,71.3
7-3-agi-cf3.log,CN1CC(C)(C)O[P](C(C)(C)C)(C(C)(C)C)[Ag](C(F)(F)F)[P]1(C(C)(C)C)C(C)(C)C,71.3
34-4-agi-cf3.log,FC(F)(F)[Ag@SP2]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P]1(C1CCCCC1)C1CCCCC1,71.2
65-4-agi-cf3.log,FC(F)(F)[Ag][C]1N(c2ccccc2)CCCN1c1ccccc1,71.2
9-4-agi-cf3.log,FC(F)(F)[Ag][P](c1cscc1P(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1,71.2
10-4-agi-cf3.log,FC(F)(F)[Ag][P](c1c[nH]cc1P(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1,71.1
3-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)CC[P](C(C)(C)C)(C(C)(C)C)[Ag@SP3]1C(F)(F)F,71.1
57-1-agi-cf3.log,CN1[C]N(CN2C=NN(C)[C]2[Ag]C(F)(F)F)C=N1,71.1
15-4-agi-cf3.log,FC(F)(F)[Ag@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2ccccc2[P]1(C1CCCCC1)C1CCCCC1,71
28-4-agi-cf3.log,FC(F)(F)[Ag][P](c1ccc2ccccc2c1-c1c(P(C2CCCCC2)C2CCCCC2)ccc2ccccc12)(C1CCCCC1)C1CCCCC1,71
34-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,71
14-4-agi-cf3.log,FC(F)(F)[Ag]1[P](C2CCCCC2)(C2CCCCC2)C[C@H]2C[C@H](CN2)[P]1(C1CCCCC1)C1CCCCC1,70.9
15-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccccc2[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,70.9
25-4-agi-cf3.log,Cc1cccc(P(C2CCCCC2)C2CCCCC2)c1-c1c(C)cccc1[P]([Ag]C(F)(F)F)(C1CCCCC1)C1CCCCC1,70.9
33-3-agi-cf3.log,CC(C)(C)P(c1cccc2c1[C@]1(CC2)CCc2cccc([P]([Ag]C(F)(F)F)(C(C)(C)C)C(C)(C)C)c21)C(C)(C)C,70.9
58-5-agi-cf3.log,FC(F)(F)[Ag][C]1N(Cc2ccccc2)c2ccccc2N1CN1[C]N(Cc2ccccc2)c2ccccc21,70.9
13-4-agi-cf3.log,FC(F)(F)[Ag@SP1]1[P](C2CCCCC2)(C2CCCCC2)[C@H]2CNC[C@@H]2[P]1(C1CCCCC1)C1CCCCC1,70.8
56-1-agi-cf3.log,CN1C=CN2CN3C=CN(C)[C]3[Ag](C(F)(F)F)[C]12,70.8
58-1-agi-cf3.log,CN1[C]N(CN2[C]([Ag]C(F)(F)F)N(C)c3ccccc32)c2ccccc21,70.8
32-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)O[C@@H]2CCCC23CCC[C@H]3O[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,70.7
6-3-agi-cf3.log,C[C@@H](C[C@H](C)[P]([Ag]C(F)(F)F)(C(C)(C)C)C(C)(C)C)P(C(C)(C)C)C(C)(C)C,70.7
34-2-agi-cf3.log,CP(C)[C@@H]1[C@H]([P](C)(C)[Ag]C(F)(F)F)[C@@H]2C=C[C@H]1C2,70.6
58-2-agi-cf3.log,CCN1[C]N(CN2[C]([Ag]C(F)(F)F)N(CC)c3ccccc32)c2ccccc21,70.6
14-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C[C@H]2C[C@H](CN2)[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,70.5
16-4-agi-cf3.log,FC(F)(F)[Ag@SP2]1[P](C2CCCCC2)(C2CCCCC2)c2cccnc2[P]1(C1CCCCC1)C1CCCCC1,70.5
19-2-agi-cf3.log,CP(C)C[C@H]1CCCC[C@@H]1C[P](C)(C)[Ag]C(F)(F)F,70.3
27-2-agi-cf3.log,CP(C)c1ccc2c(c1-c1c([P](C)(C)[Ag]C(F)(F)F)ccc3c1OCCO3)OCCO2,70.2
24-4-agi-cf3.log,FC(F)(F)[Ag][P](c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1,70.1
26-3-agi-cf3.log,CC(C)(C)P(c1cccc2c1-c1c(cccc1[P]([Ag]C(F)(F)F)(C(C)(C)C)C(C)(C)C)OCO2)C(C)(C)C,70.1
32-2-agi-cf3.log,CP(C)O[C@@H]1CCC[C@@]12CCC[C@H]2O[P](C)(C)[Ag]C(F)(F)F,70.1
42-2-agi-cf3.log,C[P](C)(Cc1cccc2c1[C@@]1(CCc3cccc(N)c31)CC2)[Ag]C(F)(F)F,70
18-2-agi-cf3.log,C[P]1(C)[C@@H]2CCC[C@@H](C2)[P](C)(C)[Ag@SP1]1C(F)(F)F,69.9
37-2-agi-cf3.log,C[C@H]1c2ccccc2[P@@]2(C)N1CCN1[C@@H](C)c3ccccc3[P@]1(C)[Ag@SP3]2C(F)(F)F,69.9
8-4-agi-cf3.log,FC(F)(F)[Ag@SP2]1[P](C2CCCCC2)(C2CCCCC2)C2=CCC=C2[P]1(C1CCCCC1)C1CCCCC1,69.8
