,SMILES,BDE
65-1-coii-cf3.log,CN1CCCN(C)[C]1[Co@SP1](C(F)(F)F)C(F)(F)F,85.9
62-3-coii-cf3.log,CC(C)(C)N1C=CN2[C]1[Co@SP3](C(F)(F)F)(C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1cccc3cc4cccc2c4cc13,81.2
62-5-coii-cf3.log,FC(F)(F)[Co@SP1]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2cccc3cc4cccc(c4cc23)N2C=CN(Cc3ccccc3)[C]21,80.9
62-4-coii-cf3.log,FC(F)(F)[Co@SP1]1(C(F)(F)F)=C2N(c3ccccc3)C=CN2c2cccc3cc4cccc(c4cc23)N2C=CN(c3ccccc3)[C]21,80.6
41-2-coii-cf3.log,C[P]1(C)c2cccc3c2[C@@]2(CCc4cccc(N->[Co@SP1]1(C(F)(F)F)C(F)(F)F)c42)CC3,80.4
62-2-coii-cf3.log,CCN1C=CN2[C]1[Co@SP3](C(F)(F)F)(C(F)(F)F)=C1N(CC)C=CN1c1cccc3cc4cccc2c4cc13,79.5
62-1-coii-cf3.log,CN1C=CN2[C]1[Co@SP3](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1cccc3cc4cccc2c4cc13,79.4
61-4-coii-cf3.log,FC(F)(F)[Co@TB6]1(C(F)(F)F)[C]2N(C=CN2c2ccccc2)Cc2ccccc2CN2C=CN(c3ccccc3)[C]21,79.3
42-2-coii-cf3.log,C[P]1(C)Cc2cccc3c2[C@]2(CC3)CCc3cccc(N->[Co@SP1]1(C(F)(F)F)C(F)(F)F)c32,79.1
30-4-coii-cf3.log,FC(F)(F)[Co]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P]1(C1CCCCC1)C1CCCCC1,78.3
61-5-coii-cf3.log,FC(F)(F)[Co@TB5]1(C(F)(F)F)[C]2N(Cc3ccccc3)C=CN2Cc2ccccc2CN2C=CN(Cc3ccccc3)[C]21,77.6
64-5-coii-cf3.log,FC(F)(F)[Co@SP2]([C]1N(Cc2ccccc2)CCN1Cc1ccccc1)C(F)(F)F,77.4
61-2-coii-cf3.log,CCN1C=CN2Cc3ccccc3CN3C=CN(CC)[C]3[Co@TB13](C(F)(F)F)(C(F)(F)F)[C]12,76.7
51-4-coii-cf3.log,COC1=CO[C]2c3cccc4cc5cccc(c5cc34)[C]3OC=C(OC)N3[Co@SP3](C(F)(F)F)(C(F)(F)F)N21,76.1
48-4-coii-cf3.log,COC1=c2ccc3c4c2N(C=C1)[Co@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3OC,75.1
49-1-coii-cf3.log,CC1=COC2=C3OC=C(C)N3[Co@SP2](C(F)(F)F)(C(F)(F)F)N12,75.1
46-4-coii-cf3.log,COC1=CC2=C3C=C(OC)C=CN3[Co@SP2](C(F)(F)F)(C(F)(F)F)N2C=C1,74.9
41-5-coii-cf3.log,FC(F)(F)[Co@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(n1cccc1)n1cccc1)c32)C(F)(F)F,74.8
1-3-coii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C[P](C(C)(C)C)(C(C)(C)C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,74
51-2-coii-cf3.log,FC(F)(F)C1=CO[C]2c3cccc4cc5cccc(c5cc34)[C]3OC=C(C(F)(F)F)N3[Co@SP3](C(F)(F)F)(C(F)(F)F)N21,74
51-3-coii-cf3.log,FC1=CO[C]2c3cccc4cc5cccc(c5cc34)[C]3OC=C(F)N3[Co@SP3](C(F)(F)F)(C(F)(F)F)N21,73.7
48-1-coii-cf3.log,CC1=c2ccc3c4c2N(C=C1)[Co@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3C,73.6
