,SMILES,BDE
10-1-cui-cf3.log,FC(F)(F)[Cu@SP1]1[P](c2ccccc2)(c2ccccc2)c2c[nH]cc2[P]1(c1ccccc1)c1ccccc1,80.5
10-2-cui-cf3.log,C[P]1(C)c2c[nH]cc2[P](C)(C)[Cu@SP3]1C(F)(F)F,83.8
10-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2c[nH]cc2[P]1(C1CCCCC1)C1CCCCC1,84.1
10-5-cui-cf3.log,FC(F)(F)[Cu][P](c1c[nH]cc1P(n1cccc1)n1cccc1)(n1cccc1)n1cccc1,81.6
11-1-cui-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](c1ccccc1)(c1ccccc1)[Cu](C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,50.9
11-2-cui-cf3.log,C[P]1(C)C2=C(C(=O)N(c3ccccc3)C2=O)[P](C)(C)[Cu@SP1]1C(F)(F)F,48.8
11-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C2=C(C(=O)N(c3ccccc3)C2=O)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,48.7
11-4-cui-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](C1CCCCC1)(C1CCCCC1)[Cu](C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,52.1
11-5-cui-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](n1cccc1)(n1cccc1)[Cu](C(F)(F)F)[P]2(n1cccc1)n1cccc1,51.4
1-1-cui-cf3.log,FC(F)(F)[Cu][P](CP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,80.6
12-1-cui-cf3.log,CC1(C)OC2=C(O1)[P](c1ccccc1)(c1ccccc1)[Cu](C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,80.7
12-2-cui-cf3.log,CC1(C)OC2=C(O1)[P](C)(C)[Cu@SP2](C(F)(F)F)[P]2(C)C,81.3
12-3-cui-cf3.log,CC1(C)OC2=C(O1)[P](C(C)(C)C)(C(C)(C)C)[Cu](C(F)(F)F)[P]2(C(C)(C)C)C(C)(C)C,83.8
12-4-cui-cf3.log,CC1(C)OC2=C(O1)[P](C1CCCCC1)(C1CCCCC1)[Cu](C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,96.9
12-5-cui-cf3.log,CC1(C)OC2=C(O1)[P](n1cccc1)(n1cccc1)[Cu](C(F)(F)F)[P]2(n1cccc1)n1cccc1,81
1-2-cui-cf3.log,CP(C)C[P](C)(C)[Cu]C(F)(F)F,81.6
13-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)[C@H]2CNC[C@@H]2[P]1(c1ccccc1)c1ccccc1,80.9
13-2-cui-cf3.log,C[P]1(C)[C@H]2CNC[C@@H]2[P](C)(C)[Cu@SP1]1C(F)(F)F,82.2
13-5-cui-cf3.log,FC(F)(F)[Cu@SP1]1[P](n2cccc2)(n2cccc2)[C@H]2CNC[C@@H]2[P]1(n1cccc1)n1cccc1,81.5
14-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)C[C@H]2C[C@H](CN2)[P]1(c1ccccc1)c1ccccc1,80.3
14-2-cui-cf3.log,C[P]1(C)C[C@H]2C[C@H](CN2)[P](C)(C)[Cu]1C(F)(F)F,82.9
14-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C[C@H]2C[C@H](CN2)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,82.3
14-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)C[C@H]2C[C@H](CN2)[P]1(C1CCCCC1)C1CCCCC1,82.1
14-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)C[C@H]2C[C@H](CN2)[P]1(n1cccc1)n1cccc1,80.2
1-4-cui-cf3.log,FC(F)(F)[Cu][P](CP(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1,82.1
15-1-cui-cf3.log,FC(F)(F)[Cu@SP1]1[P](c2ccccc2)(c2ccccc2)c2ccccc2[P]1(c1ccccc1)c1ccccc1,79.5
15-2-cui-cf3.log,C[P]1(C)c2ccccc2[P](C)(C)[Cu@SP1]1C(F)(F)F,81.3
15-4-cui-cf3.log,FC(F)(F)[Cu@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2ccccc2[P]1(C1CCCCC1)C1CCCCC1,82.3
15-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2ccccc2[P]1(n1cccc1)n1cccc1,76.6
16-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2cccnc2[P]1(c1ccccc1)c1ccccc1,78.5
16-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cccnc2[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,82.2
16-4-cui-cf3.log,FC(F)(F)[Cu@SP2]1[P](C2CCCCC2)(C2CCCCC2)c2cccnc2[P]1(C1CCCCC1)C1CCCCC1,80.9
16-5-cui-cf3.log,FC(F)(F)[Cu@SP1]1[P](n2cccc2)(n2cccc2)c2ncccc2[P@OH1]1(n1cccc1)n1cccc1,78.7
17-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)Cc2ccccc2C[P]1(c1ccccc1)c1ccccc1,80.3
17-2-cui-cf3.log,C[P]1(C)Cc2ccccc2C[P@OH3](C)(C)[Cu@SP3]1C(F)(F)F,80.2
17-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)Cc2ccccc2C[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,82.2
17-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)Cc2ccccc2C[P]1(C1CCCCC1)C1CCCCC1,79.7
17-5-cui-cf3.log,FC(F)(F)[Cu@SP1]1[P](n2cccc2)(n2cccc2)Cc2ccccc2C[P]1(n1cccc1)n1cccc1,65.1
