,SMILES,BDE
62-2-feii-cf3.log,CCN1C=CN2[C]1[Fe@SP3](C(F)(F)F)(C(F)(F)F)[C]1N(CC)C=CN1c1cccc3cc4cccc2c4cc13,62.1
62-4-feii-cf3.log,FC(F)(F)[Fe@SP1]1(C(F)(F)F)=C2N(c3ccccc3)C=CN2c2cccc3cc4cccc(c4cc23)N2C=CN(c3ccccc3)[C]21,62
23-4-feii-cf3.log,FC(F)(F)[Fe]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2Oc2c(cccc2[P]1(C1CCCCC1)C1CCCCC1)C3,61.4
62-1-feii-cf3.log,CN1C=CN2[C]1[Fe@SP3](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1cccc3cc4cccc2c4cc13,61
22-4-feii-cf3.log,FC(F)(F)[Fe]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2oc2c(cccc23)[P]1(C1CCCCC1)C1CCCCC1,58.1
59-2-feii-cf3.log,CCN1C=CN2CCN3C=CN(CC)[C]3[Fe](C(F)(F)F)(C(F)(F)F)[C]12,53.7
37-1-feii-cf3.log,C[C@H]1c2ccccc2[P@@]2(c3ccccc3)N1CCN1[C@@H](C)c3ccccc3[P@]1(c1ccccc1)[Fe]2(C(F)(F)F)C(F)(F)F,51.7
51-3-feii-cf3.log,FC1=CO[C]2c3cccc4cc5cccc(c5cc34)[C]3OC=C(F)N3[Fe@SP3](C(F)(F)F)(C(F)(F)F)N21,48.8
47-4-feii-cf3.log,COC1=C[CH]N2C(=C1)[C]1C=C(OC)C=C3C4=CC(OC)=C[CH]N4[Fe@OH29]2(C(F)(F)F)(C(F)(F)F)N13,47.4
62-5-feii-cf3.log,FC(F)(F)[Fe@SP1]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2cccc3cc4cccc(c4cc23)N2C=CN(Cc3ccccc3)[C]21,46.6
37-5-feii-cf3.log,C[C@H]1c2ccccc2[P@@]2(n3cccc3)N1CCN1[C@@H](C)c3ccccc3[P@]1(n1cccc1)[Fe]2(C(F)(F)F)C(F)(F)F,44
10-2-feii-cf3.log,CP(C)c1c[nH]cc1P(C)C.FC(F)(F)[Fe]C(F)(F)F,43.7
40-4-feii-cf3.log,CCOC(=O)[C@@H]1[C@@H](C(=O)OCC)[C@@H](c2ccccc2[P](C2CCCCC2)(C2CCCCC2)[Fe](C(F)(F)F)C(F)(F)F)[C@@H]1c1ccccc1P(C1CCCCC1)C1CCCCC1,43.7
12-2-feii-cf3.log,CP(C)C1=C(P(C)C)OC(C)(C)O1.FC(F)(F)[Fe]C(F)(F)F,43.5
2-2-feii-cf3.log,CP(C)C(C)(C)P(C)C.FC(F)(F)[Fe]C(F)(F)F,43.4
47-1-feii-cf3.log,CC1=C[CH]N2C(=C1)[C]1C=C(C)C=C3C4=CC(C)=C[CH]N4[Fe@OH29]2(C(F)(F)F)(C(F)(F)F)N13,43.4
47-3-feii-cf3.log,FC1=C[CH]N2C(=C1)[C]1C=C(F)C=C3C4=CC(F)=C[CH]N4[Fe@OH29]2(C(F)(F)F)(C(F)(F)F)N13,43.3
61-5-feii-cf3.log,FC(F)(F)[Fe@TB5]1(C(F)(F)F)[C]2N(Cc3ccccc3)C=CN2Cc2ccccc2CN2C=CN(Cc3ccccc3)[C]21,43.1
1-2-feii-cf3.log,CP(C)CP(C)C.FC(F)(F)[Fe]C(F)(F)F,42.6
13-2-feii-cf3.log,CP(C)[C@H]1CNC[C@@H]1P(C)C.FC(F)(F)[Fe]C(F)(F)F,42.6
9-2-feii-cf3.log,CP(C)c1cscc1P(C)C.FC(F)(F)[Fe]C(F)(F)F,42.5
16-2-feii-cf3.log,CP(C)c1cccnc1P(C)C.FC(F)(F)[Fe]C(F)(F)F,42
8-2-feii-cf3.log,CP(C)C1=CCC=C1P(C)C.FC(F)(F)[Fe]C(F)(F)F,42
9-4-feii-cf3.log,FC(F)(F)[Fe@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cscc2[P]1(C1CCCCC1)C1CCCCC1,42
15-2-feii-cf3.log,CP(C)c1ccccc1P(C)C.FC(F)(F)[Fe]C(F)(F)F,41.8
1-1-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,41.7
1-4-feii-cf3.log,FC(F)(F)[Fe@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)C[P]1(C1CCCCC1)C1CCCCC1,41.6
54-3-feii-cf3.log,FC1=CO[C]2C3=CC=CC4=C5OC=C(F)N5[Fe@OH7](C(F)(F)F)(C(F)(F)F)(N21)N34,41.4
54-4-feii-cf3.log,COC1=CO[C]2C3=CC=CC4=C5OC=C(OC)N5[Fe@OH7](C(F)(F)F)(C(F)(F)F)(N21)N34,41.3
2-4-feii-cf3.log,CC1(C)[P](C2CCCCC2)(C2CCCCC2)[Fe@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,41.1
52-3-feii-cf3.log,FC1=COC2=c3ccccc3=C3OC=C(F)N3[Fe@SP2](C(F)(F)F)(C(F)(F)F)N12,41
2-1-feii-cf3.log,CC(C)(P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1.FC(F)(F)[Fe]C(F)(F)F,40.8
27-4-feii-cf3.log,FC(F)(F)[Fe@OH21]12(C(F)(F)F)[C@]3([CH]C=C4OCCOC4=C3c3c(ccc4c3OCCO4)[P]1(C1CCCCC1)C1CCCCC1)[P]2(C1CCCCC1)C1CCCCC1,40.8
47-5-feii-cf3.log,FC(F)(F)[Fe@OH14]12(C(F)(F)F)N3[CH]C=C(c4ccccc4)C=C3[C]3C=C(c4ccccc4)C=C(C4=CC(c5ccccc5)=C[CH]N41)N32,40.7
11-1-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.O=C1C(P(c2ccccc2)c2ccccc2)=C(P(c2ccccc2)c2ccccc2)C(=O)N1c1ccccc1,40.6
3-4-feii-cf3.log,FC(F)(F)[Fe@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)CC[P]1(C1CCCCC1)C1CCCCC1,39.9
60-1-feii-cf3.log,CN1C=CN2[C]1[Fe@SP2](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1ccccc12,39.8
19-2-feii-cf3.log,C[P]1(C)C[C@H]2CCCC[C@@H]2C[P](C)(C)[Fe@SP1]1(C(F)(F)F)C(F)(F)F,39.4
24-1-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccc(P(c2ccccc2)c2ccccc2-c2ccccc2P(c2ccccc2)c2ccccc2)cc1,39.3
44-2-feii-cf3.log,CP(C)c1ccccc1C[C]1OCCN1[Fe@SP2](C(F)(F)F)C(F)(F)F,39.3
29-2-feii-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P](C)(C)[Fe@SP3]1(C(F)(F)F)C(F)(F)F)CCCC3,38.5
3-1-feii-cf3.log,FC(F)(F)[Fe@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)CC[P]1(c1ccccc1)c1ccccc1,38.4
6-2-feii-cf3.log,C[C@H]1C[C@H](C)[P](C)(C)[Fe@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C)C,38.4
4-4-feii-cf3.log,C[C@H]1[C@H](C)[P](C2CCCCC2)(C2CCCCC2)[Fe@TB7](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,38.1
21-2-feii-cf3.log,C[P]1(C)c2ccccc2Oc2ccccc2[P](C)(C)[Fe@SP3]1(C(F)(F)F)C(F)(F)F,37.8
59-5-feii-cf3.log,FC(F)(F)[Fe]1(C(F)(F)F)[C]2N(C=CN2Cc2ccccc2)CCN2C=CN(Cc3ccccc3)[C]21,37.8
8-1-feii-cf3.log,C1=C(P(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=CC1.FC(F)(F)[Fe]C(F)(F)F,37.8
9-1-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccc(P(c2ccccc2)c2cscc2P(c2ccccc2)c2ccccc2)cc1,37.6
52-2-feii-cf3.log,FC(F)(F)C1=COC2=c3ccccc3=C3OC=C(C(F)(F)F)N3[Fe@SP1](C(F)(F)F)(C(F)(F)F)N12,37.5
16-4-feii-cf3.log,FC(F)(F)[Fe@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cccnc2[P]1(C1CCCCC1)C1CCCCC1,37.3
24-2-feii-cf3.log,C[P]1(C)c2ccccc2-c2ccccc2[P](C)(C)[Fe@SP3]1(C(F)(F)F)C(F)(F)F,37.3
15-1-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,37.1
16-1-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccc(P(c2ccccc2)c2cccnc2P(c2ccccc2)c2ccccc2)cc1,37.1
15-4-feii-cf3.log,FC(F)(F)[Fe@SP3]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2ccccc2[P]1(C1CCCCC1)C1CCCCC1,37
25-2-feii-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](C)(C)[Fe@SP2](C(F)(F)F)(C(F)(F)F)[P]2(C)C,37
27-2-feii-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P](C)(C)[Fe@SP3]1(C(F)(F)F)C(F)(F)F)OCCO3,37
4-1-feii-cf3.log,C[C@H]1[C@H](C)[P](c2ccccc2)(c2ccccc2)[Fe@SP2](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,37
20-1-feii-cf3.log,FC(F)(F)[Fe@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@@H]2COCC[C@@H]2[P]1(c1ccccc1)c1ccccc1,36.9
14-2-feii-cf3.log,CP(C)C[C@H]1C[C@@H](P(C)C)CN1.FC(F)(F)[Fe]C(F)(F)F,36.7
47-2-feii-cf3.log,FC(F)(F)C1=C[CH]N2C(=C1)[C]1C=C(C(F)(F)F)C=C3C4=CC(C(F)(F)F)=C[CH]N4[Fe@OH29]2(C(F)(F)F)(C(F)(F)F)N13,36.7
