,SMILES,BDE
56-3-niii-cf3.log,CC(C)(C)N1C=CN2CN3C=CN(C(C)(C)C)C3=[Ni@SP1](C(F)(F)F)(C(F)(F)F)[C]21,65.1
62-5-niii-cf3.log,FC(F)(F)[Ni@SP1]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2cccc3cc4cccc(c4cc23)N2C=CN(Cc3ccccc3)[C]21,64.5
60-5-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2ccccc2N2C=CN(Cc3ccccc3)[C]21,64.1
62-2-niii-cf3.log,CCN1C=CN2[C]1[Ni@SP3](C(F)(F)F)(C(F)(F)F)=C1N(CC)C=CN1c1cccc3cc4cccc2c4cc13,63.7
60-1-niii-cf3.log,CN1C=CN2[C]1[Ni@SP2](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1ccccc12,63.3
58-3-niii-cf3.log,CC(C)(C)N1[C]2N(CN3[C](N(C(C)(C)C)c4ccccc43)[Ni@SP3]2(C(F)(F)F)C(F)(F)F)c2ccccc21,63.1
62-4-niii-cf3.log,FC(F)(F)[Ni@SP1]1(C(F)(F)F)=C2N(c3ccccc3)C=CN2c2cccc3cc4cccc(c4cc23)N2C=CN(c3ccccc3)[C]21,63
62-1-niii-cf3.log,CN1C=CN2[C]1[Ni@SP3](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1cccc3cc4cccc2c4cc13,62.2
60-3-niii-cf3.log,CC(C)(C)N1C=CN2[C]1[Ni@SP2](C(F)(F)F)(C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1ccccc12,62.1
57-3-niii-cf3.log,CC(C)(C)N1N=CN2CN3C=NN(C(C)(C)C)C3=[Ni@SP2](C(F)(F)F)(C(F)(F)F)[C]21,61.9
60-2-niii-cf3.log,CCN1C=CN2[C]1[Ni@SP2](C(F)(F)F)(C(F)(F)F)=C1N(CC)C=CN1c1ccccc12,61.9
58-5-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)=C2N(Cc3ccccc3)c3ccccc3N2CN2[C]1N(Cc1ccccc1)c1ccccc12,61.2
60-4-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)=C2N(c3ccccc3)C=CN2c2ccccc2N2C=CN(c3ccccc3)[C]21,60.8
61-2-niii-cf3.log,CCN1C=CN2Cc3ccccc3CN3C=CN(CC)[C]3[Ni@TB13](C(F)(F)F)(C(F)(F)F)[C]12,60.5
59-4-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)=C2N(C=CN2c2ccccc2)CCN2C=CN(c3ccccc3)[C]21,60.3
56-2-niii-cf3.log,CCN1C=CN2CN3C=CN(CC)C3=[Ni@SP2](C(F)(F)F)(C(F)(F)F)[C]12,60
61-4-niii-cf3.log,FC(F)(F)[Ni@TB6]1(C(F)(F)F)[C]2N(C=CN2c2ccccc2)Cc2ccccc2CN2C=CN(c3ccccc3)[C]21,60
61-5-niii-cf3.log,FC(F)(F)[Ni@TB5]1(C(F)(F)F)[C]2N(Cc3ccccc3)C=CN2Cc2ccccc2CN2C=CN(Cc3ccccc3)[C]21,59.9
3-2-niii-cf3.log,C[P]1(C)CC[P](C)(C)[Ni@SP1]1(C(F)(F)F)C(F)(F)F,59.8
61-1-niii-cf3.log,CN1C=CN2Cc3ccccc3CN3C=CN(C)[C]3[Ni@TB14](C(F)(F)F)(C(F)(F)F)[C]12,59.8
56-5-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2CN2C=CN(Cc3ccccc3)[C]21,59.7
