,SMILES,BDE
53-1-pdii-cf3.log,CC1=CO[C](c2ccccc2)N1[Pd@SP1](C(F)(F)F)C(F)(F)F,85
58-3-pdii-cf3.log,CC(C)(C)N1[C]2N(CN3C(=[Pd@SP1]2(C(F)(F)F)C(F)(F)F)N(C(C)(C)C)c2ccccc23)c2ccccc21,73.5
60-5-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2ccccc2N2C=CN(Cc3ccccc3)[C]21,72
60-1-pdii-cf3.log,CN1C=CN2[C]1[Pd@SP2](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1ccccc12,71.5
60-2-pdii-cf3.log,CCN1C=CN2[C]1[Pd@SP2](C(F)(F)F)(C(F)(F)F)=C1N(CC)C=CN1c1ccccc12,71.4
60-3-pdii-cf3.log,CC(C)(C)N1C=CN2[C]1[Pd@SP2](C(F)(F)F)(C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1ccccc12,70.3
60-4-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)=C2N(c3ccccc3)C=CN2c2ccccc2N2C=CN(c3ccccc3)[C]21,69.8
56-1-pdii-cf3.log,CN1C=CN2CN3C=CN(C)C3=[Pd@SP2](C(F)(F)F)(C(F)(F)F)[C]12,69.2
59-4-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)=C2N(C=CN2c2ccccc2)CCN2C=CN(c3ccccc3)[C]21,69.2
58-1-pdii-cf3.log,CN1[C]2N(CN3C(=[Pd@SP1]2(C(F)(F)F)C(F)(F)F)N(C)c2ccccc23)c2ccccc21,69.1
56-5-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2CN2C=CN(Cc3ccccc3)[C]21,68.9
46-1-pdii-cf3.log,CC1=CC2=C3C=C(C)C=CN3[Pd@SP2](C(F)(F)F)(C(F)(F)F)N2C=C1,68.4
48-4-pdii-cf3.log,COC1=c2ccc3c4c2N(C=C1)[Pd@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3OC,68.2
58-5-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)=C2N(Cc3ccccc3)c3ccccc3N2CN2[C]1N(Cc1ccccc1)c1ccccc12,68.2
56-4-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)=C2N(C=CN2c2ccccc2)CN2C=CN(c3ccccc3)[C]21,68.1
56-2-pdii-cf3.log,CCN1C=CN2CN3C=CN(CC)C3=[Pd@SP2](C(F)(F)F)(C(F)(F)F)[C]12,68
46-4-pdii-cf3.log,COC1=CC2=C3C=C(OC)C=CN3[Pd@SP2](C(F)(F)F)(C(F)(F)F)N2C=C1,67.9
57-1-pdii-cf3.log,CN1N=CN2CN3C=NN(C)C3=[Pd@SP2](C(F)(F)F)(C(F)(F)F)[C]21,67.7
52-1-pdii-cf3.log,CC1=COC2=c3ccccc3=C3OC=C(C)N3[Pd@SP1](C(F)(F)F)(C(F)(F)F)N12,67.6
48-1-pdii-cf3.log,CC1=c2ccc3c4c2N(C=C1)[Pd@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3C,67.5
48-5-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)N2C=CC(c3ccccc3)=c3ccc4c(c32)N1C=CC=4c1ccccc1,67.4
58-2-pdii-cf3.log,CCN1[C]2N(CN3C(=[Pd@SP1]2(C(F)(F)F)C(F)(F)F)N(CC)c2ccccc23)c2ccccc21,67.1
46-5-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)N2C=CC(c3ccccc3)=CC2=C2C=C(c3ccccc3)C=CN21,67
57-4-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)=C2N(C=NN2c2ccccc2)CN2C=NN(c3ccccc3)[C]21,67
48-3-pdii-cf3.log,FC1=c2ccc3c4c2N(C=C1)[Pd@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3F,66.9
57-2-pdii-cf3.log,CCN1N=CN2CN3C=NN(CC)C3=[Pd@SP1](C(F)(F)F)(C(F)(F)F)[C]21,66.8
57-5-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)=C2N(C=NN2Cc2ccccc2)CN2C=NN(Cc3ccccc3)[C]21,66.7
46-3-pdii-cf3.log,FC1=CC2=C3C=C(F)C=CN3[Pd@SP1](C(F)(F)F)(C(F)(F)F)N2C=C1,66.6
62-5-pdii-cf3.log,FC(F)(F)[Pd@SP1]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2cccc3cc4cccc(c4cc23)N2C=CN(Cc3ccccc3)[C]21,66
48-2-pdii-cf3.log,FC(F)(F)C1=c2ccc3c4c2N(C=C1)[Pd@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3C(F)(F)F,65.9
52-4-pdii-cf3.log,COC1=COC2=c3ccccc3=C3OC=C(OC)N3[Pd@SP1](C(F)(F)F)(C(F)(F)F)N12,65.8
62-4-pdii-cf3.log,FC(F)(F)[Pd@SP1]1(C(F)(F)F)=C2N(c3ccccc3)C=CN2c2cccc3cc4cccc(c4cc23)N2C=CN(c3ccccc3)[C]21,65.8
3-2-pdii-cf3.log,C[P]1(C)CC[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,65.7
46-2-pdii-cf3.log,FC(F)(F)C1=CC2=C3C=C(C(F)(F)F)C=CN3[Pd@SP1](C(F)(F)F)(C(F)(F)F)N2C=C1,65.7
62-3-pdii-cf3.log,CC(C)(C)N1C=CN2[C]1[Pd@SP3](C(F)(F)F)(C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1cccc3cc4cccc2c4cc13,65.6
57-3-pdii-cf3.log,CC(C)(C)N1N=CN2CN3C=NN(C(C)(C)C)C3=[Pd@SP2](C(F)(F)F)(C(F)(F)F)[C]21,65.4
61-4-pdii-cf3.log,FC(F)(F)[Pd@TB6]1(C(F)(F)F)[C]2N(C=CN2c2ccccc2)Cc2ccccc2CN2C=CN(c3ccccc3)[C]21,65.4
10-2-pdii-cf3.log,C[P]1(C)c2c[nH]cc2[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,65.3
15-2-pdii-cf3.log,C[P]1(C)c2ccccc2[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,65.3
20-2-pdii-cf3.log,C[P]1(C)[C@@H]2COCC[C@@H]2[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,65.3
4-2-pdii-cf3.log,C[C@H]1[C@H](C)[P](C)(C)[Pd@SP2](C(F)(F)F)(C(F)(F)F)[P]1(C)C,65.3
62-2-pdii-cf3.log,CCN1C=CN2[C]1[Pd@SP3](C(F)(F)F)(C(F)(F)F)=C1N(CC)C=CN1c1cccc3cc4cccc2c4cc13,65.3
59-3-pdii-cf3.log,CC(C)(C)N1C=CN2CCN3C=CN(C(C)(C)C)C3=[Pd@SP1](C(F)(F)F)(C(F)(F)F)[C]21,65.2
5-2-pdii-cf3.log,C[P]1(C)CCC[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,65.1
61-5-pdii-cf3.log,FC(F)(F)[Pd@TB5]1(C(F)(F)F)[C]2N(Cc3ccccc3)C=CN2Cc2ccccc2CN2C=CN(Cc3ccccc3)[C]21,65.1
41-2-pdii-cf3.log,C[P]1(C)c2cccc3c2[C@@]2(CCc4cccc(N->[Pd@SP1]1(C(F)(F)F)C(F)(F)F)c42)CC3,64.8
9-2-pdii-cf3.log,C[P]1(C)c2cscc2[P](C)(C)[Pd@SP3]1(C(F)(F)F)C(F)(F)F,64.8
6-2-pdii-cf3.log,C[C@H]1C[C@H](C)[P](C)(C)[Pd@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C)C,64.7
61-2-pdii-cf3.log,CCN1C=CN2Cc3ccccc3CN3C=CN(CC)[C]3[Pd@TB13](C(F)(F)F)(C(F)(F)F)[C]12,64.7
13-2-pdii-cf3.log,C[P]1(C)[C@H]2CNC[C@@H]2[P](C)(C)[Pd@SP3]1(C(F)(F)F)C(F)(F)F,64.6
56-3-pdii-cf3.log,CC(C)(C)N1C=CN2CN3C=CN(C(C)(C)C)C3=[Pd@SP1](C(F)(F)F)(C(F)(F)F)[C]21,64.6
16-2-pdii-cf3.log,C[P]1(C)c2cccnc2[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,64.5
34-2-pdii-cf3.log,C[P]1(C)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,64.4
62-1-pdii-cf3.log,CN1C=CN2[C]1[Pd@SP3](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1cccc3cc4cccc2c4cc13,64.4
42-2-pdii-cf3.log,C[P]1(C)Cc2cccc3c2[C@]2(CC3)CCc3cccc(N->[Pd@SP1]1(C(F)(F)F)C(F)(F)F)c32,64.3
50-1-pdii-cf3.log,CC1=CO[C]2N1[Pd@SP1](C(F)(F)F)(C(F)(F)F)N1[C](OC=C1C)C2(C)C,64.3
1-4-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)C[P]1(C1CCCCC1)C1CCCCC1,64.2
17-2-pdii-cf3.log,C[P]1(C)Cc2ccccc2C[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,64
8-2-pdii-cf3.log,C[P]1(C)C2=CCC=C2[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,64
44-4-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)N2CCO[C]2Cc2ccccc2[P]1(C1CCCCC1)C1CCCCC1,63.9
52-3-pdii-cf3.log,FC1=COC2=c3ccccc3=C3OC=C(F)N3[Pd@SP2](C(F)(F)F)(C(F)(F)F)N12,63.9
12-2-pdii-cf3.log,CC1(C)OC2=C(O1)[P](C)(C)[Pd@SP2](C(F)(F)F)(C(F)(F)F)[P]2(C)C,63.8
50-3-pdii-cf3.log,CC1(C)[C]2OC=C(F)N2[Pd@SP2](C(F)(F)F)(C(F)(F)F)N2[C]1OC=C2F,63.8
50-4-pdii-cf3.log,COC1=CO[C]2N1[Pd@SP1](C(F)(F)F)(C(F)(F)F)N1[C](OC=C1OC)C2(C)C,63.8
9-4-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cscc2[P]1(C1CCCCC1)C1CCCCC1,63.8
43-5-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)N2CCO[C]2c2sc3ccccc3c2[P]1(n1cccc1)n1cccc1,63.7
63-1-pdii-cf3.log,CN1C=CN2[C]1[Pd@SP2](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1ccc3ccccc3c1-c1c2ccc2ccccc12,63.7
19-2-pdii-cf3.log,C[P]1(C)C[C@H]2CCCC[C@@H]2C[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,63.6
3-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)CC[P]1(c1ccccc1)c1ccccc1,63.5
63-5-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2ccc3ccccc3c2-c2c(ccc3ccccc23)N2C=CN(Cc3ccccc3)[C]21,63.5
11-2-pdii-cf3.log,C[P]1(C)C2=C(C(=O)N(c3ccccc3)C2=O)[P](C)(C)[Pd@SP3]1(C(F)(F)F)C(F)(F)F,63.4
55-1-pdii-cf3.log,Cc1ccc(N2C3=C(CCCC3)N(c3ccc(C)cc3)[Pd@SP3]2(C(F)(F)F)C(F)(F)F)cc1,63.4
8-4-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)C2=CCC=C2[P]1(C1CCCCC1)C1CCCCC1,63.4
5-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)CCC[P]1(c1ccccc1)c1ccccc1,63.3
