,SMILES,BDE
60-1-ptii-cf3.log,CN1C=CN2[C]1[Pt@SP2](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1ccccc12,84.1
52-1-ptii-cf3.log,CC1=COC2=c3ccccc3=C3OC=C(C)N3[Pt@SP1](C(F)(F)F)(C(F)(F)F)N12,83.5
34-1-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P]1(c1ccccc1)c1ccccc1,83.3
48-4-ptii-cf3.log,COC1=c2ccc3c4c2N(C=C1)[Pt@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3OC,83.3
60-2-ptii-cf3.log,CCN1C=CN2[C]1[Pt@SP2](C(F)(F)F)(C(F)(F)F)=C1N(CC)C=CN1c1ccccc12,83.1
48-5-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)N2C=CC(c3ccccc3)=c3ccc4c(c32)N1C=CC=4c1ccccc1,82.9
46-4-ptii-cf3.log,COC1=CC2=C3C=C(OC)C=CN3[Pt@SP2](C(F)(F)F)(C(F)(F)F)N2C=C1,82.7
48-1-ptii-cf3.log,CC1=c2ccc3c4c2N(C=C1)[Pt@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3C,82.6
52-4-ptii-cf3.log,COC1=COC2=c3ccccc3=C3OC=C(OC)N3[Pt@SP1](C(F)(F)F)(C(F)(F)F)N12,82.5
60-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)=C2N(c3ccccc3)C=CN2c2ccccc2N2C=CN(c3ccccc3)[C]21,82.5
52-3-ptii-cf3.log,FC1=COC2=c3ccccc3=C3OC=C(F)N3[Pt@SP2](C(F)(F)F)(C(F)(F)F)N12,82.4
56-1-ptii-cf3.log,CN1C=CN2CN3C=CN(C)C3=[Pt@SP1](C(F)(F)F)(C(F)(F)F)[C]12,82.3
60-3-ptii-cf3.log,CC(C)(C)N1C=CN2[C]1[Pt@SP2](C(F)(F)F)(C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1ccccc12,82.2
48-3-ptii-cf3.log,FC1=c2ccc3c4c2N(C=C1)[Pt@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3F,82.1
46-1-ptii-cf3.log,CC1=CC2=C3C=C(C)C=CN3[Pt@SP2](C(F)(F)F)(C(F)(F)F)N2C=C1,81.9
46-5-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)N2C=CC(c3ccccc3)=CC2=C2C=C(c3ccccc3)C=CN21,81.8
59-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)=C2N(C=CN2c2ccccc2)CCN2C=CN(c3ccccc3)[C]21,81.7
60-5-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2ccccc2N2C=CN(Cc3ccccc3)[C]21,81.6
46-3-ptii-cf3.log,FC1=CC2=C3C=C(F)C=CN3[Pt@SP1](C(F)(F)F)(C(F)(F)F)N2C=C1,81.4
56-5-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2CN2C=CN(Cc3ccccc3)[C]21,81.3
58-1-ptii-cf3.log,CN1[C]2N(CN3C(=[Pt@SP3]2(C(F)(F)F)C(F)(F)F)N(C)c2ccccc23)c2ccccc21,81.3
52-5-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)N2C(c3ccccc3)=COC2=c2ccccc2=C2OC=C(c3ccccc3)N21,81.2
56-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)=C2N(C=CN2c2ccccc2)CN2C=CN(c3ccccc3)[C]21,81.2
48-2-ptii-cf3.log,FC(F)(F)C1=c2ccc3c4c2N(C=C1)[Pt@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3C(F)(F)F,81
58-5-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)=C2N(Cc3ccccc3)c3ccccc3N2CN2[C]1N(Cc1ccccc1)c1ccccc12,81
58-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)=C2N(CN3[C]1N(c1ccccc1)c1ccccc13)c1ccccc1N2c1ccccc1,80.7
57-4-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)=C2N(C=NN2c2ccccc2)CN2C=NN(c3ccccc3)[C]21,80.6
50-4-ptii-cf3.log,COC1=CO[C]2N1[Pt@SP1](C(F)(F)F)(C(F)(F)F)N1[C](OC=C1OC)C2(C)C,80.4
46-2-ptii-cf3.log,FC(F)(F)C1=CC2=C3C=C(C(F)(F)F)C=CN3[Pt@SP1](C(F)(F)F)(C(F)(F)F)N2C=C1,80.3
56-2-ptii-cf3.log,CCN1C=CN2CN3C=CN(CC)C3=[Pt@SP2](C(F)(F)F)(C(F)(F)F)[C]12,80.3
50-3-ptii-cf3.log,CC1(C)[C]2OC=C(F)N2[Pt@SP2](C(F)(F)F)(C(F)(F)F)N2[C]1OC=C2F,80
57-5-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)=C2N(C=NN2Cc2ccccc2)CN2C=NN(Cc3ccccc3)[C]21,79.9
64-3-ptii-cf3.log,CC(C)(C)N1CCN(C(C)(C)C)[C]1[Pt@SP2](C(F)(F)F)C(F)(F)F,79.7
65-2-ptii-cf3.log,CCN1CCCN(CC)[C]1[Pt@SP1](C(F)(F)F)C(F)(F)F,79.7
57-2-ptii-cf3.log,CCN1N=CN2CN3C=NN(CC)C3=[Pt@SP1](C(F)(F)F)(C(F)(F)F)[C]21,79.6
58-2-ptii-cf3.log,CCN1[C]2N(CN3C(=[Pt@SP1]2(C(F)(F)F)C(F)(F)F)N(CC)c2ccccc23)c2ccccc21,79.6
41-2-ptii-cf3.log,C[P]1(C)c2cccc3c2[C@@]2(CCc4cccc(N->[Pt@SP1]1(C(F)(F)F)C(F)(F)F)c42)CC3,79.4
50-1-ptii-cf3.log,CC1=CO[C]2N1[Pt@SP1](C(F)(F)F)(C(F)(F)F)N1[C](OC=C1C)C2(C)C,79.4
64-1-ptii-cf3.log,CN1CCN(C)[C]1[Pt@SP2](C(F)(F)F)C(F)(F)F,79.4
62-3-ptii-cf3.log,CC(C)(C)N1C=CN2[C]1[Pt@SP3](C(F)(F)F)(C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1cccc3cc4cccc2c4cc13,79.1
64-2-ptii-cf3.log,CCN1CCN(CC)[C]1[Pt@SP2](C(F)(F)F)C(F)(F)F,78.9
42-2-ptii-cf3.log,C[P]1(C)Cc2cccc3c2[C@]2(CC3)CCc3cccc(N->[Pt@SP1]1(C(F)(F)F)C(F)(F)F)c32,78.8
50-5-ptii-cf3.log,CC1(C)[C]2OC=C(c3ccccc3)N2[Pt@SP1](C(F)(F)F)(C(F)(F)F)N2[C]1OC=C2c1ccccc1,78.5
49-1-ptii-cf3.log,CC1=COC2=C3OC=C(C)N3[Pt@SP2](C(F)(F)F)(C(F)(F)F)N12,78.4
43-5-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)N2CCO[C]2c2sc3ccccc3c2[P]1(n1cccc1)n1cccc1,78.3
61-4-ptii-cf3.log,FC(F)(F)[Pt@TB6]1(C(F)(F)F)[C]2N(C=CN2c2ccccc2)Cc2ccccc2CN2C=CN(c3ccccc3)[C]21,77.9
41-4-ptii-cf3.log,FC(F)(F)[Pt@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(C1CCCCC1)C1CCCCC1)c32)C(F)(F)F,77.7
4-2-ptii-cf3.log,C[C@H]1[C@H](C)[P](C)(C)[Pt@SP2](C(F)(F)F)(C(F)(F)F)[P]1(C)C,77.6
57-3-ptii-cf3.log,CC(C)(C)N1N=CN2CN3C=NN(C(C)(C)C)C3=[Pt@SP2](C(F)(F)F)(C(F)(F)F)[C]21,77.6
61-1-ptii-cf3.log,CN1C=CN2Cc3ccccc3CN3C=CN(C)[C]3[Pt@TB14](C(F)(F)F)(C(F)(F)F)[C]12,77.6
13-2-ptii-cf3.log,C[P]1(C)[C@H]2CNC[C@@H]2[P](C)(C)[Pt@SP3]1(C(F)(F)F)C(F)(F)F,77.4
3-2-ptii-cf3.log,C[P]1(C)CC[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,77.4
20-2-ptii-cf3.log,C[P]1(C)[C@@H]2COCC[C@@H]2[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,77.2
41-1-ptii-cf3.log,FC(F)(F)[Pt@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(c1ccccc1)c1ccccc1)c32)C(F)(F)F,77.1
5-2-ptii-cf3.log,C[P]1(C)CCC[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,77.1
56-3-ptii-cf3.log,CC(C)(C)N1C=CN2CN3C=CN(C(C)(C)C)C3=[Pt@SP1](C(F)(F)F)(C(F)(F)F)[C]21,77.1
63-1-ptii-cf3.log,CN1C=CN2[C]1[Pt@SP1](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1ccc3ccccc3c1-c1c2ccc2ccccc12,77.1
1-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)C[P]1(C1CCCCC1)C1CCCCC1,77
61-5-ptii-cf3.log,FC(F)(F)[Pt@TB5]1(C(F)(F)F)[C]2N(Cc3ccccc3)C=CN2Cc2ccccc2CN2C=CN(Cc3ccccc3)[C]21,77
10-2-ptii-cf3.log,C[P]1(C)c2c[nH]cc2[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.9
12-2-ptii-cf3.log,CC1(C)OC2=C(O1)[P](C)(C)[Pt@SP2](C(F)(F)F)(C(F)(F)F)[P]2(C)C,76.9
6-2-ptii-cf3.log,C[C@H]1C[C@H](C)[P](C)(C)[Pt@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C)C,76.8
15-2-ptii-cf3.log,C[P]1(C)c2ccccc2[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.7
8-2-ptii-cf3.log,C[P]1(C)C2=CCC=C2[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.5
9-2-ptii-cf3.log,C[P]1(C)c2cscc2[P](C)(C)[Pt@SP3]1(C(F)(F)F)C(F)(F)F,76.4
34-2-ptii-cf3.log,C[P]1(C)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.3
1-2-ptii-cf3.log,C[P]1(C)C[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.2
2-2-ptii-cf3.log,CC1(C)[P](C)(C)[Pt@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C)C,76.2
50-2-ptii-cf3.log,CC1(C)[C]2OC=C(C(F)(F)F)N2[Pt@SP2](C(F)(F)F)(C(F)(F)F)N2[C]1OC=C2C(F)(F)F,76.2
16-2-ptii-cf3.log,C[P]1(C)c2cccnc2[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.1
44-4-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)N2CCO[C]2Cc2ccccc2[P]1(C1CCCCC1)C1CCCCC1,76
63-5-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2ccc3ccccc3c2-c2c(ccc3ccccc23)N2C=CN(Cc3ccccc3)[C]21,75.9
17-2-ptii-cf3.log,C[P]1(C)Cc2ccccc2C[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,75.8
2-4-ptii-cf3.log,CC1(C)[P](C2CCCCC2)(C2CCCCC2)[Pt@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,75.7
43-2-ptii-cf3.log,C[P]1(C)c2c(sc3ccccc23)[C]2OCCN2[Pt@SP3]1(C(F)(F)F)C(F)(F)F,75.6
