,SMILES,BDE
49-1-rhi-cf3.log,CC1=COC2=C3OC=C(C)N3[Rh@SP3](C(F)(F)F)N12,90.5
17-2-rhi-cf3.log,C[P]1(C)Cc2ccccc2C[P](C)(C)[Rh@SP3]1C(F)(F)F,89.8
38-2-rhi-cf3.log,C[P]1(C)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P](C)(C)[Rh@SP3]1C(F)(F)F,88
49-4-rhi-cf3.log,COC1=COC2=C3OC=C(OC)N3[Rh@SP2](C(F)(F)F)N12,86.9
61-5-rhi-cf3.log,FC(F)(F)[Rh@SP1]12=C3N(Cc4ccccc4)C=CN3Cc3ccccc3CN3C=CN(C[C@@]14[CH]C=CC=C4)[C]32,86.9
61-2-rhi-cf3.log,CCN1C=CN2Cc3ccccc3CN3C=CN(CC)[C]3[Rh@SP3](C(F)(F)F)[C]12,86.7
49-3-rhi-cf3.log,FC1=COC2=C3OC=C(F)N3[Rh@SP2](C(F)(F)F)N12,85.3
2-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[Rh@SP2](C(F)(F)F)[P](C(C)(C)C)(C(C)(C)C)C1(C)C,83.8
61-3-rhi-cf3.log,CC(C)(C)N1C=CN2Cc3ccccc3CN3C=CN(C(C)(C)C)[C]3[Rh@SP2](C(F)(F)F)[C]21,83.1
63-3-rhi-cf3.log,CC(C)(C)N1C=CN2[C]1[Rh@SP3](C(F)(F)F)[C]1N(C=CN1C(C)(C)C)c1ccc3ccccc3c1-c1c2ccc2ccccc12,82.7
61-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[C]2N(C=CN2c2ccccc2)Cc2ccccc2CN2C=CN(c3ccccc3)[C]21,82.6
63-5-rhi-cf3.log,FC(F)(F)[Rh@SP1]12=C3N(Cc4ccccc4)C=CN3c3ccc4ccccc4c3-c3c(ccc4ccccc34)N3C=CN(C[C@@]14[CH]C=CC=C4)[C]32,82.3
63-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[C]2N(c3ccccc3)C=CN2c2ccc3ccccc3c2-c2c(ccc3ccccc23)N2C=CN(c3ccccc3)[C]21,81.9
43-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1N2CCO[C]2c2sc3ccccc3c2[P]1(C1CCCCC1)C1CCCCC1,81.2
43-2-rhi-cf3.log,C[P]1(C)c2c(sc3ccccc23)[C]2OCCN2[Rh@SP1]1C(F)(F)F,80.3
46-4-rhi-cf3.log,COC1=CC2=C3C=C(OC)C=CN3[Rh@SP3](C(F)(F)F)N2C=C1,80.1
48-4-rhi-cf3.log,COC1=c2ccc3c4c2N(C=C1)[Rh@SP2](C(F)(F)F)N4C=CC=3OC,80.1
1-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C[P](C(C)(C)C)(C(C)(C)C)[Rh@SP1]1C(F)(F)F,80
23-2-rhi-cf3.log,C[P]1(C)c2cccc3c2Oc2c(cccc2[P](C)(C)[Rh@SP2]1C(F)(F)F)C3,80
46-1-rhi-cf3.log,CC1=CC2=C3C=C(C)C=CN3[Rh@SP3](C(F)(F)F)N2C=C1,79.7
46-3-rhi-cf3.log,FC1=CC2=C3C=C(F)C=CN3[Rh@SP2](C(F)(F)F)N2C=C1,78.9
49-2-rhi-cf3.log,FC(F)(F)C1=COC2=C3OC=C(C(F)(F)F)N3[Rh@SP2](C(F)(F)F)N12,78.9
54-4-rhi-cf3.log,COC1=CO[C]2C3=CC=CC4=C5OC=C(OC)N5[Rh@SP1](C(F)(F)F)(N21)N34,78.9
44-2-rhi-cf3.log,C[P]1(C)c2ccccc2C[C]2OCCN2[Rh@SP1]1C(F)(F)F,78.7
48-1-rhi-cf3.log,CC1=c2ccc3c4c2N(C=C1)[Rh@SP2](C(F)(F)F)N4C=CC=3C,78.6
22-2-rhi-cf3.log,C[P]1(C)c2cccc3c2oc2c(cccc23)[P](C)(C)[Rh@SP2]1C(F)(F)F,78.5
22-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cccc3c2oc2c(cccc23)[P](C(C)(C)C)(C(C)(C)C)[Rh@SP2]1C(F)(F)F,78.4
47-4-rhi-cf3.log,COC1=C[CH]N2C(=C1)C1=CC(OC)=CC3=C4C=C(OC)C=CN4[Rh@SP2]2(C(F)(F)F)N13,78.3
45-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]12[C@H]3C=CC=C[C]3C3=CC=C4CC[C@@H](O[P]1(c1ccccc1)c1ccccc1)[C]4N32,78.2
65-3-rhi-cf3.log,CC(C)(C)N1CCCN(C(C)(C)C)[C]1[Rh]C(F)(F)F,78.1
61-1-rhi-cf3.log,CN1C=CN2Cc3ccccc3CN3C=CN(C)[C]3[Rh@SP2](C(F)(F)F)[C]12,77.9
63-2-rhi-cf3.log,CCN1C=CN2[C]1[Rh@SP2](C(F)(F)F)[C]1N(CC)C=CN1c1ccc3ccccc3c1-c1c2ccc2ccccc12,77.9
46-5-rhi-cf3.log,FC(F)(F)[Rh@SP1]1N2C=CC(c3ccccc3)=CC2=C2C=C(c3ccccc3)C=CN21,77.7
2-5-rhi-cf3.log,CC1(C)[P](n2cccc2)(n2cccc2)[Rh@SP3](C(F)(F)F)[P]1(n1cccc1)n1cccc1,77.4
22-4-rhi-cf3.log,FC(F)(F)[Rh@SP3]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2oc2c(cccc23)[P]1(C1CCCCC1)C1CCCCC1,77.2
35-2-rhi-cf3.log,C[P]1(C)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P](C)(C)[Rh@]1C(F)(F)F,77.1
48-3-rhi-cf3.log,FC1=c2ccc3c4c2N(C=C1)[Rh@SP2](C(F)(F)F)N4C=CC=3F,77.1
63-1-rhi-cf3.log,CN1C=CN2[C]1[Rh@SP3](C(F)(F)F)[C]1N(C)C=CN1c1ccc3ccccc3c1-c1c2ccc2ccccc12,77
43-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1N2CCO[C]2c2sc3ccccc3c2[P]1(c1ccccc1)c1ccccc1,76.9
50-1-rhi-cf3.log,CC1=CO[C]2N1[Rh@SP3](C(F)(F)F)N1[C](OC=C1C)C2(C)C,76.7
47-1-rhi-cf3.log,CC1=C[CH]N2C(=C1)C1=CC(C)=CC3=C4C=C(C)C=CN4[Rh@SP2]2(C(F)(F)F)N13,75.9
56-2-rhi-cf3.log,CCN1C=CN2CN3C=CN(CC)[C]3[Rh@SP2](C(F)(F)F)[C]12,75.9
56-1-rhi-cf3.log,CN1C=CN2CN3C=CN(C)[C]3[Rh@SP3](C(F)(F)F)[C]12,75.8
60-2-rhi-cf3.log,CCN1C=CN2[C]1[Rh@SP3](C(F)(F)F)=C1N(CC)C=CN1c1ccccc12,75.5
23-5-rhi-cf3.log,FC(F)(F)[Rh@SP3]1[P](n2cccc2)(n2cccc2)c2cccc3c2Oc2c(cccc2[P]1(n1cccc1)n1cccc1)C3,75.2
37-4-rhi-cf3.log,C[C@H]1c2ccccc2[P@@]2(C3CCCCC3)N1CCN1[C@@H](C)c3ccccc3[P@]1(C1CCCCC1)[Rh@SP3]2C(F)(F)F,75.2
58-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[C]2N(CN3[C]1N(c1ccccc1)c1ccccc13)c1ccccc1N2c1ccccc1,75.1
60-1-rhi-cf3.log,CN1C=CN2[C]1[Rh@SP2](C(F)(F)F)=C1N(C)C=CN1c1ccccc12,75.1
45-5-rhi-cf3.log,FC(F)(F)[Rh@SP1]12[C@H]3C=CC=C[C]3C3=CC=C4CC[C@@H](O[P]1(n1cccc1)n1cccc1)[C]4N32,74.9
44-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1N2CCO[C]2Cc2ccccc2[P]1(c1ccccc1)c1ccccc1,74.7
54-1-rhi-cf3.log,CC1=CO[C]2C3=CC=CC4=C5OC=C(C)N5[Rh@SP1](C(F)(F)F)(N21)N34,74.5
50-5-rhi-cf3.log,CC1(C)[C]2OC=C(c3ccccc3)N2[Rh@SP3](C(F)(F)F)N2[C]1OC=C2c1ccccc1,74.4
46-2-rhi-cf3.log,FC(F)(F)C1=CC2=C3C=C(C(F)(F)F)C=CN3[Rh@SP2](C(F)(F)F)N2C=C1,74.3
56-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[C]2N(C=CN2c2ccccc2)CN2C=CN(c3ccccc3)[C]21,74.3
59-1-rhi-cf3.log,CN1C=CN2CCN3C=CN(C)[C]3[Rh@SP2](C(F)(F)F)[C]12,74.3
59-3-rhi-cf3.log,CC(C)(C)N1C=CN2CCN3C=CN(C(C)(C)C)[C]3[Rh@SP2](C(F)(F)F)[C]21,74.1
10-5-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](n2cccc2)(n2cccc2)c2c[nH]cc2[P]1(n1cccc1)n1cccc1,74
